Investor Name,Number of Company
Accelm Scania Growth Capital,1
Auriga,1
Galeo Ventures,1
Group11,1
China Culture Industrial Investment Fund,1
We Capital,1
China Minsheng Investment Group,1
Pritzker Group Venture Capital,2
Hyde Park Venture Partners,3
Maniv Mobility,1
Base10 Partners,1
Rakuten Ventures,1
Golden Gate Ventures,3
Rocketship.vc,1
HV Capital,1
Intact Ventures,1
Lone Pine Capital,1
14W. ForgeLight,1
Frontier Ventures,1
Elevar Equity,1
Edison Partners,1
VentureLink,1
Evolution Equity Partners,1
Inspired Capital,2
Kaiser Permanente Ventures,1
Endeavour Vision,1
LRVHealth,1
STORY3 Capital Partners,1
JSW Ventures,1
IvyCap Ventures,1
Motive Partners. Apollo Global Management,1
Beijing Juneng Hesheng Industry Investment Fund,1
Beijing Shuju Xinrong Fund,1
Robert Bosch Venture Capital,1
SeptWolves Ventures,1
QF Capital,1
QC Capital,1
AF Ventures,1
Siddhi Capital,1
Inflexion Private Equity,1
Trifecta Capital Advisors,1
Stellaris Venture Partners,1
Rich Land Capital,1
Merrysunny Wealth,1
FundersClub,1
Bain Capital Tech Opportunities,2
American Family Ventures,2
Aviv Venture Capital,1
Shell Ventures,1
Gopher Asset Management,1
Shanghai Electric Group,1
Silverton Partners,2
Tusk Ventures,1
BDC Capital,1
Georgian,1
Bualuang Ventures,1
Placeholder Capital,1
Binance Ventures,1
Mouro Capital,1
Hanaco Venture Capital,3
Gramercy Ventures,1
BlueRun Ventures,2
LEAP Global Partners,1
Cervin Ventures,1
Meson Capital Partners,1
OGCI Climate Investments,1
Astorg Partners,1
Princeville Global,1
Beyond Net Zero,1
Railway Pension Trustee Co. Ltd.,1
Toba Capital,1
Spring Ventures,1
SoftBankGroup,1
Passport Capital,1
Rho Ventures,1
Shima Capital,1
Softbank Corp.,1
Sherpalo Ventures,1
Haitong Kaiyuan Investment,1
Silver Lake Partners,1
New Horizon Capital,1
Ventech China,1
K2 Ventures,2
Ping An Insurance,1
China Minsheng Investment,1
Wanxin Media,1
Silverlink Capital,1
Hinduja Group,1
Vcanbio,1
Insights Venture Partners,1
Berkshire Partners,1
Standard Chartered,1
FinSight Ventures,1
Affirma Capital,1
Blue Label Telecoms,1
Net1 UEPS Technologies,1
Co-Energy Finance,1
Grandland,1
K2 Global,1
ING,1
Alibaba Entrepreneurs Fund,1
Ginko Ventures,1
Fosun RZ Capital,1
Oceanwide Holdings,1
Shenzhen Qianhe Capital Management Co.,1
V Star Capital,1
Haitong Leading Capital Management,1
China Investment Corporation,1
Silicon Valley Bank,1
European Founders Fund,1
Innova Capital - FIP,1
3G Capital Management,1
One Luxury Group,1
China Broadband Capital,1
Prometheus Capital,1
JD Capital Management,1
SDIC Innovation Investment Management,1
Shang Qi Capital,1
GCP Capital Partners,1
U.S.-China Green Fund,1
Founder H Fund,1
Richland Equities,1
China Everbright Limited,1
iFLYTEK,1
Georgian Co-Investment Fund,1
iTech Capital,1
Galaxy Digital,1
UBS Asset Management,1
Astanor Ventures,1
BOC International,1
TopoScend Capital,1
Hongxiu VC,1
China Prosperity Capital,1
TAL Education Group,1
Legend Star,1
SBI Investment Korea,1
Partners Investment,1
Teamworthy Ventures,1
Summerhill Venture Partners,1
Investment Corporation of Dubai,2
Centralway,1
FTV Capital,3
Bright Venture Capita,1
OLX Group,1
KCK Group,1
EXOR Seeds,1
Altos Ventures,2
Costanoa Ventures,2
One Equity Partners,1
True,1
Causeway Media Partners,1
Sozo Ventures,1
MMC Ventures,1
Unilever Ventures,1
WRVI Capital,1
Francisco Partners,1
Wellington Management,1
DFJ DragonFund,1
SCB 10X,1
Krungsri Finnovate,1
eWTP Capital,1
C5 Capital,1
Hemisphere Ventures,1
The Venture Collective,1
Bojiang Capital,1
Hongdao Capital,1
Mobai Capital,1
Qualgro,1
GE Ventures,1
McKesson Ventures,1
Hundreds Capital,1
Yinhong Equity Investment Fund,1
E Fund,1
Ideal International,1
Ballast Point Ventures,1
Cox Enterprises,1
TDK Ventures,1
NIO Capital,1
Cadenza Ventures,1
BlockTower Capital,1
Smilegate Investment,1
DSC Investments,1
KTB Ventures,1
Flagship Pioneering,1
Cobalt Capital,1
Danhua Capital,1
MSA Capital,1
XBTO Ventures,1
Raven One Ventures,1
SK Ventures,1
Griffin Gaming Partners,1
Eclipse Ventures,3
China Capital Investment Group,1
Bregal Sagemount,1
Dragonfly Captial,1
Johnson & Johnson Innovation,1
Optum Ventures,1
Transformation Capital,1
Delian Capital,1
China International Capital Corporation,1
Alpha JWC Ventures,3
Pereg Ventures,1
MoreVC,2
Team8,1
Day One Ventures,1
Peterson Ventures,1
Advance Venture Partners,1
Lupa Systems,1
